feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2,val_imp_3,val_imp_4
ciudad_Parrish,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Kenneth City,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Ochopee,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Ydaxgf Watersound,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Christmas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Bunnell,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Moore Haven,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Gulf Breeze,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Singer Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Clewiston,0.0,0.0,0.0,0.0,0.0,0.0,0.0
